cluster,,Occupation
4,,Information Security Analysts
4,,Computer Programmers
4,,"Software Developers, Applications"
4,,"Software Developers, Systems Software"
4,,Web Developers
4,,Database Administrators
4,,Network and Computer Systems Administrators
4,,Computer Network Architects
4,,Computer User Support Specialists
4,,Software Quality Assurance Engineers and Testers
4,,Computer Systems Engineers/Architects
4,,Web Administrators
4,,Geospatial Information Scientists and Technologists
4,,Geographic Information Systems Technicians
4,,Database Architects
4,,Data Warehousing Specialists
4,,Business Intelligence Analysts
4,,Search Marketing Strategists
4,,Document Management Specialists
4,,Actuaries
4,,Mathematicians
4,,Operations Research Analysts
4,,Statisticians
4,,Biostatisticians
4,,Cartographers and Photogrammetrists
4,,Surveyors
4,,Geodetic Surveyors
4,,Aerospace Engineers
4,,Agricultural Engineers
4,,Biomedical Engineers
4,,Chemical Engineers
4,,Civil Engineers
4,,Transportation Engineers
4,,Computer Hardware Engineers
4,,Electrical Engineers
4,,"Electronics Engineers, Except Computer"
4,,Radio Frequency Identification Device Specialists
4,,Environmental Engineers
4,,Water/Wastewater Engineers
4,,Fire-Prevention and Protection Engineers
4,,Industrial Engineers
4,,Human Factors Engineers and Ergonomists
4,,Marine Engineers
4,,Marine Architects
4,,Materials Engineers
4,,Mechanical Engineers
4,,Fuel Cell Engineers
4,,Automotive Engineers
4,,"Mining and Geological Engineers, Including Mining Safety Engineers"
4,,Nuclear Engineers
4,,Petroleum Engineers
4,,Biochemical Engineers
4,,Validation Engineers
4,,Energy Engineers
4,,Manufacturing Engineers
4,,Mechatronics Engineers
4,,Microsystems Engineers
4,,Photonics Engineers
4,,Robotics Engineers
4,,Nanosystems Engineers
4,,Wind Energy Engineers
4,,Solar Energy Systems Engineers
4,,Civil Drafters
4,,Electronic Drafters
4,,Mechanical Drafters
4,,Aerospace Engineering and Operations Technicians
4,,Civil Engineering Technicians
4,,Electronics Engineering Technicians
4,,Electrical Engineering Technicians
4,,Electro-Mechanical Technicians
4,,Robotics Technicians
4,,Industrial Engineering Technicians
4,,Mechanical Engineering Technicians
4,,Automotive Engineering Technicians
4,,Electromechanical Engineering Technologists
4,,Electronics Engineering Technologists
4,,Manufacturing Engineering Technologists
4,,Mechanical Engineering Technologists
4,,Photonics Technicians
4,,Nanotechnology Engineering Technologists
4,,Nanotechnology Engineering Technicians
4,,Mapping Technicians
4,,Animal Scientists
4,,Food Scientists and Technologists
4,,Soil and Plant Scientists
4,,Biologists
4,,Biochemists and Biophysicists
4,,Microbiologists
4,,Zoologists and Wildlife Biologists
4,,Bioinformatics Scientists
4,,Molecular and Cellular Biologists
4,,Geneticists
4,,Epidemiologists
4,,"Medical Scientists, Except Epidemiologists"
4,,Astronomers
4,,Physicists
4,,Atmospheric and Space Scientists
4,,Chemists
4,,Materials Scientists
4,,"Environmental Scientists and Specialists, Including Health"
4,,Climate Change Analysts
4,,Environmental Restoration Planners
4,,Industrial Ecologists
4,,"Geoscientists, Except Hydrologists and Geographers"
4,,Hydrologists
4,,Remote Sensing Scientists and Technologists
4,,Economists
4,,Environmental Economists
4,,Survey Researchers
4,,Archeologists
4,,Political Scientists
4,,Transportation Planners
4,,Biological Technicians
4,,Chemical Technicians
4,,Geophysical Data Technicians
4,,Geological Sample Test Technicians
4,,Nuclear Monitoring Technicians
4,,Social Science Research Assistants
4,,Forensic Science Technicians
4,,Quality Control Analysts
4,,Precision Agriculture Technicians
4,,Remote Sensing Technicians
4,,"Engineering Teachers, Postsecondary"
4,,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
4,,"Physics Teachers, Postsecondary"
4,,Commercial and Industrial Designers
4,,Broadcast Technicians
4,,Cytogenetic Technologists
4,,Cytotechnologists
4,,Intelligence Analysts
4,,Energy Brokers
4,,Statistical Assistants
4,,Bioinformatics Technicians
4,,"Computer, Automated Teller, and Office Machine Repairers"
4,,Camera and Photographic Equipment Repairers
4,,Nuclear Power Reactor Operators
4,,Power Distributors and Dispatchers
4,,Air Traffic Controllers
5,,"Education Administrators, Elementary and Secondary School"
5,,Funeral Service Managers
5,,Social and Community Service Managers
5,,Park Naturalists
5,,Clinical Psychologists
5,,Counseling Psychologists
5,,Sociologists
